catcode,cmte_id,catorder,catname,industry,sector,newsletter,source,confidence,reasoning,model
B0000,,C01,Construction & Public Works,General Contractors,Construction,Construction & Housing,crp,high,,
B0500,,C01,Builders associations,General Contractors,Construction,Construction & Housing,crp,high,,
B1000,,C01,"Public works, industrial & commercial construction",General Contractors,Construction,Construction & Housing,crp,high,,
B1200,,C01,Dredging Contractors,General Contractors,Construction,Construction & Housing,crp,high,,
B1500,,C01,"Construction, unclassified",General Contractors,Construction,Construction & Housing,crp,high,,
B2000,,C02,Residential construction,Home Builders,Construction,Construction & Housing,crp,high,,
B2400,,C02,Mobile home construction,Home Builders,Construction,Construction & Housing,crp,high,,
B3000,,C03,Special trade contractors,Special Trade Contractors,Construction,Construction & Housing,crp,high,,
B3200,,C03,Electrical contractors,Special Trade Contractors,Construction,Construction & Housing,crp,high,,
B3400,,C03,"Plumbing, heating & air conditioning",Special Trade Contractors,Construction,Construction & Housing,crp,high,,
B3600,,C03,Landscaping & Excavation Svcs,Special Trade Contractors,Construction,Construction & Housing,crp,high,,
B4000,,C04,"Engineering, architecture & construction mgmt svcs",Construction Services,Construction,Construction & Housing,crp,high,,
B4200,,C04,Architectural services,Construction Services,Construction,Construction & Housing,crp,high,,
B4300,,C04,Surveying,Construction Services,Construction,Construction & Housing,crp,high,,
B4400,,C04,Engineers - type unknown,Construction Services,Construction,Construction & Housing,crp,high,,
B5000,,C05,Building materials,Building Materials & Equipment,Construction,Construction & Housing,crp,high,,
B5100,,C05,"Stone, clay, glass & concrete products",Building Materials & Equipment,Construction,Construction & Housing,crp,high,,
B5200,,C05,Lumber and wood products,Building Materials & Equipment,Construction,Construction & Housing,crp,high,,
B5300,,C05,Plumbing & pipe products,Building Materials & Equipment,Construction,Construction & Housing,crp,high,,
B5400,,C05,Other construction-related products,Building Materials & Equipment,Construction,Construction & Housing,crp,high,,
B5500,,C05,Electrical Supply,Building Materials & Equipment,Construction,Construction & Housing,crp,high,,
B6000,,C05,Construction equipment,Building Materials & Equipment,Construction,Construction & Housing,crp,high,,
C1000,,B01,Printing and publishing (printed & online),Printing & Publishing,Communic/Electronics,,crp,high,,
C1100,,B01,"Book, newspaper & periodical publishing",Printing & Publishing,Communic/Electronics,,crp,high,,
C2100,,B02,Commercial TV & radio stations,TV/Movies/Music,Communic/Electronics,ICT & Cybersecurity,crp,high,,
C0000,,B00,Communications & Electronics,Misc Communications/Electronics,Communic/Electronics,"ICT & Cybersecurity, Manufacturing",crp,high,,
C1300,,B01,Commercial printing & typesetting,Printing & Publishing,Communic/Electronics,Manufacturing,crp,high,,
C1400,,B01,Greeting card publishing,Printing & Publishing,Communic/Electronics,Manufacturing,crp,high,,
C2000,,B02,Entertainment Industry/Broadcast & Motion Pictures,TV/Movies/Music,Communic/Electronics,Manufacturing,crp,high,,
C5000,,B12,Electronics manufacturing & services,Electronics Mfg & Equip,Communic/Electronics,Manufacturing,crp,high,,
C5100,,B12,Computer manufacture & services,Electronics Mfg & Equip,Communic/Electronics,Manufacturing,crp,high,,
C5110,,B12,Computer components & accessories,Electronics Mfg & Equip,Communic/Electronics,Manufacturing,crp,high,,
C5120,,B12,Computer software,Electronics Mfg & Equip,Communic/Electronics,ICT & Cybersecurity,crp,high,,
C5400,,B12,Industrial Electronics,Electronics Mfg & Equip,Communic/Electronics,Manufacturing,crp,high,,
C6000,,B13,Internet & Online Services,Internet,Communic/Electronics,ICT & Cybersecurity,crp,high,,
C6200,,B13,Social Media,Internet,Communic/Electronics,ICT & Cybersecurity,crp,high,,
C6300,,B13,Search Engine/Email Services,Internet,Communic/Electronics,ICT & Cybersecurity,crp,high,,
