name,thomas_id,jurisdiction_source,subcommittee_name,subcommittee_thomas_id,newsletters,notes
House Committee on Agriculture,HSAG,,Forestry and Horticulture,15,"Agri, Environment",
House Committee on Agriculture,HSAG,,"Commodity Markets, Digital Assets, and Rural Development",22,Agri/Finance/ICT&Cybersecurity,
House Committee on Agriculture,HSAG,,"General Farm Commodities, Risk Management, and Credit",16,Agri/Finance,
House Committee on Agriculture,HSAG,,"Livestock, Dairy, and Poultry",29,Agri/Food&Beverage,
House Committee on Agriculture,HSAG,,"Conservation, Research, and Biotechnology",14,Agri,
House Committee on Agriculture,HSAG,,Nutrition and Foreign Agriculture,3,Agri/Food&Beverage,
House Committee on Appropriations,HSAP,https://appropriations.house.gov/about/,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",1,Agri/Food&Beverage/biopharma,
House Committee on Appropriations,HSAP,https://appropriations.house.gov/about/,"Commerce, Justice, Science, and Related Agencies",19,ICT&Cybersecurity/Social Issues,
House Committee on Appropriations,HSAP,https://appropriations.house.gov/about/,Defense,2,Defence,
House Committee on Appropriations,HSAP,https://appropriations.house.gov/about/,Energy and Water Development and Related Agencies,10,Utilities&Power/Environment,
House Committee on Appropriations,HSAP,https://appropriations.house.gov/about/,Financial Services and General Government,23,Finance,
House Committee on Appropriations,HSAP,https://appropriations.house.gov/about/,Homeland Security,15,Defence/ICT&Cybersecurity,
House Committee on Appropriations,HSAP,https://appropriations.house.gov/about/,"Interior, Environment, and Related Agencies",6,Environment,
House Committee on Appropriations,HSAP,https://appropriations.house.gov/about/,"Labor, Health and Human Services, Education, and Related Agencies",7,Healthcare/Higher Ed/Social Issues,
House Committee on Appropriations,HSAP,https://appropriations.house.gov/about/,Legislative Branch,24,Social Issues,
House Committee on Appropriations,HSAP,https://appropriations.house.gov/about/,"Military Construction, Veterans Affairs, and Related Agencies",18,Defence/Social Issues,
House Committee on Appropriations,HSAP,https://appropriations.house.gov/about/,"National Security, Department of State, and Related Programs",4,Defence/Social Issues,
House Committee on Appropriations,HSAP,https://appropriations.house.gov/about/,"Transportation, Housing and Urban Development, and Related Agencies",20,Construction&Housing/Automotive,
House Committee on Armed Services,HSAS,https://armedservices.house.gov/about,Tactical Air and Land Forces,25,Defence,
House Committee on Armed Services,HSAS,https://armedservices.house.gov/about,Military Personnel,2,Defence,
House Committee on Armed Services,HSAS,https://armedservices.house.gov/about,Readiness,3,Defence,
House Committee on Armed Services,HSAS,https://armedservices.house.gov/about,Seapower and Projection Forces,28,Defence,
House Committee on Armed Services,HSAS,https://armedservices.house.gov/about,Strategic Forces,29,Defence/ICT&Cybersecurity,
House Committee on Armed Services,HSAS,https://armedservices.house.gov/about,Intelligence and Special Operations,26,Defence/ICT&Cybersecurity,
House Committee on Armed Services,HSAS,https://armedservices.house.gov/about,"Cyber, Information Technologies, and Innovation",35,ICT&Cybersecurity,
House Committee on Financial Services,HSBA,https://financialservices.house.gov/about/,Capital Markets,16,Finance,
House Committee on Financial Services,HSBA,https://financialservices.house.gov/about/,Housing and Insurance,4,Construction&Housing/Finance,
House Committee on Financial Services,HSBA,https://financialservices.house.gov/about/,Oversight and Investigations,9,Social Issues/Finance,
House Committee on Financial Services,HSBA,https://financialservices.house.gov/about/,Financial Institutions,20,Finance,
House Committee on Financial Services,HSBA,https://financialservices.house.gov/about/,"Digital Assets, Financial Technology, and Artificial Intelligence",21,Finance/ICT,
House Committee on Financial Services,HSBA,https://financialservices.house.gov/about/,"National Security, Illicit Finance, and International Financial Institutions",10,Finance/Defence,
House Committee on the Budget,HSBU,https://budget.house.gov/about/,,,Finance/Social Issues,
House Committee on Education and Workforce,HSED,https://edworkforce.house.gov/committee/subcommitteesjurisdictions.htm,"Early Childhood, Elementary, and Secondary Education",14,Higher Ed/Social Issues,
House Committee on Education and Workforce,HSED,https://edworkforce.house.gov/committee/subcommitteesjurisdictions.htm,"Health, Employment, Labor, and Pensions",2,Healthcare/ Social Issues,
House Committee on Education and Workforce,HSED,https://edworkforce.house.gov/committee/subcommitteesjurisdictions.htm,Higher Education and Workforce Development,13,Higher Ed/Social Issues,
House Committee on Education and Workforce,HSED,https://edworkforce.house.gov/committee/subcommitteesjurisdictions.htm,Workforce Protections,10,Social Issues,
House Committee on Foreign Affairs,HSFA,https://foreignaffairs.house.gov/about/,Africa,16,Social Issues,
House Committee on Foreign Affairs,HSFA,https://foreignaffairs.house.gov/about/,East Asia and Pacific,5,Social Issues,
House Committee on Foreign Affairs,HSFA,https://foreignaffairs.house.gov/about/,Europe,14,Social Issues,
House Committee on Foreign Affairs,HSFA,https://foreignaffairs.house.gov/about/,Middle East and North Africa,13,Social Issues,
House Committee on Foreign Affairs,HSFA,https://foreignaffairs.house.gov/about/,Western Hemisphere,7,Social Issues,
House Committee on Foreign Affairs,HSFA,https://foreignaffairs.house.gov/about/,Oversight and Intelligence,17,Defence/ICT/Social Issues,
House Committee on Foreign Affairs,HSFA,https://foreignaffairs.house.gov/about/,"Global Health, Global Human Rights, and International Organizations",6,Healthcare/ Social Issues,
House Committee on Foreign Affairs,HSFA,https://foreignaffairs.house.gov/about/,South and Central Asia,19,Social Issues,
House Committee on Oversight and Government Reform,HSGO,https://oversight.house.gov/about/,Government Operations,24,Social Issues,
House Committee on Oversight and Government Reform,HSGO,https://oversight.house.gov/about/,Military and Foreign Affairs,6,Defence,
House Committee on Oversight and Government Reform,HSGO,https://oversight.house.gov/about/,Health Care and Financial Services,27,Healthcare/ Finance,
House Committee on Oversight and Government Reform,HSGO,https://oversight.house.gov/about/,"Economic Growth, Energy Policy, and Regulatory Affairs",5,Energy/Finance,
House Committee on Oversight and Government Reform,HSGO,https://oversight.house.gov/about/,"Cybersecurity, Information Technology, and Government Innovation",12,ICT/Finance,
House Committee on Oversight and Government Reform,HSGO,https://oversight.house.gov/about/,Delivering on Government Efficiency,16,Social Issues,
House Committee on Oversight and Government Reform,HSGO,https://oversight.house.gov/about/,Federal Law Enforcement,33,Defence,
House Committee on House Administration,HSHA,https://cha.house.gov/about,Elections,8,Social Issues/ICT,
House Committee on House Administration,HSHA,https://cha.house.gov/about,Oversight,6,Social Issues/ICT,
House Committee on House Administration,HSHA,https://cha.house.gov/about,Modernization and Innovation,27,ICT,
House Committee on Homeland Security,HSHM,https://homeland.house.gov/subcommittee/full_committee/,Border Security and Enforcement,11,Defence/Social Issues,
House Committee on Homeland Security,HSHM,https://homeland.house.gov/subcommittee/full_committee/,Emergency Management and Technology,12,Utilities/ICT,
House Committee on Homeland Security,HSHM,https://homeland.house.gov/subcommittee/full_committee/,Cybersecurity and Infrastructure Protection,8,ICT,
House Committee on Homeland Security,HSHM,https://homeland.house.gov/subcommittee/full_committee/,Counterterrorism and Intelligence,5,Defence/ICT,
House Committee on Homeland Security,HSHM,https://homeland.house.gov/subcommittee/full_committee/,"Oversight, Investigations, and Accountability",9,Social Issues,
House Committee on Homeland Security,HSHM,https://homeland.house.gov/subcommittee/full_committee/,Transportation and Maritime Security,7,Freight/Defence,
House Committee on Energy and Commerce,HSIF,https://energycommerce.house.gov/committee-history/,"Commerce, Manufacturing, and Trade",17,Manufacturing/Retail/Finance,
House Committee on Energy and Commerce,HSIF,https://energycommerce.house.gov/committee-history/,Communications and Technology,16,ICT,
House Committee on Energy and Commerce,HSIF,https://energycommerce.house.gov/committee-history/,Energy,3,Energy,
House Committee on Energy and Commerce,HSIF,https://energycommerce.house.gov/committee-history/,Health,14,Healthcare,
House Committee on Energy and Commerce,HSIF,https://energycommerce.house.gov/committee-history/,Oversight and Investigations,2,Social / ICT,
House Committee on Energy and Commerce,HSIF,https://energycommerce.house.gov/committee-history/,Environment,18,Environment,
House Committee on Natural Resources,HSII,https://naturalresources.house.gov/about/,Energy and Mineral Resources,6,Energy/Mining,
House Committee on Natural Resources,HSII,https://naturalresources.house.gov/about/,Federal Lands,10,Environment/Indigenous,
House Committee on Natural Resources,HSII,https://naturalresources.house.gov/about/,"Water, Wildlife and Fisheries",13,Environment/agri/Fisheries,
House Committee on Natural Resources,HSII,https://naturalresources.house.gov/about/,Indian and Insular Affairs,24,Indigenous/Social Issues,
House Committee on Natural Resources,HSII,https://naturalresources.house.gov/about/,Oversight and Investigations,15,Social Issues,
House Permanent Select Committee on Intelligence,HLIG,https://intelligence.house.gov/about/history-and-jurisdiction.htm,Oversight and Investigations,9,Social Issues,
House Permanent Select Committee on Intelligence,HLIG,https://intelligence.house.gov/about/history-and-jurisdiction.htm,Central Intelligence Agency,1,Defence/ICT,
House Permanent Select Committee on Intelligence,HLIG,https://intelligence.house.gov/about/history-and-jurisdiction.htm,National Security Agency and Cyber,2,Defence/ICT,
House Permanent Select Committee on Intelligence,HLIG,https://intelligence.house.gov/about/history-and-jurisdiction.htm,Defense Intelligence and Overhead Architecture,4,Defence/ICT,
House Permanent Select Committee on Intelligence,HLIG,https://intelligence.house.gov/about/history-and-jurisdiction.htm,National Intelligence Enterprise,6,Defence/ICT,
House Permanent Select Committee on Intelligence,HLIG,https://intelligence.house.gov/about/history-and-jurisdiction.htm,Open Source Intelligence,11,ICT,
House Committee on the Judiciary,HSJU,https://judiciary.house.gov/about-the-committee/,The Constitution and Limited Government,10,Social Issues,
House Committee on the Judiciary,HSJU,https://judiciary.house.gov/about-the-committee/,"Courts, Intellectual Property, Artificial Intelligence, and the Internet",3,ICT,
House Committee on the Judiciary,HSJU,https://judiciary.house.gov/about-the-committee/,Crime and Federal Government Surveillance,8,Defence/ICT,
House Committee on the Judiciary,HSJU,https://judiciary.house.gov/about-the-committee/,"Immigration Integrity, Security, and Enforcement",1,Social Issues/ICT,
House Committee on the Judiciary,HSJU,https://judiciary.house.gov/about-the-committee/,"The Administrative State, Regulatory Reform, and Antitrust",5,Finance/Social Issues,
House Committee on the Judiciary,HSJU,https://judiciary.house.gov/about-the-committee/,Oversight,13,Social Issues,
House Committee on Transportation and Infrastructure,HSPW,https://transportation.house.gov/about/history.htm,Aviation,5,Aviation,
House Committee on Transportation and Infrastructure,HSPW,https://transportation.house.gov/about/history.htm,Coast Guard and Maritime Transportation,7,Freight/Defence,
House Committee on Transportation and Infrastructure,HSPW,https://transportation.house.gov/about/history.htm,"Economic Development, Public Buildings, and Emergency Management",13,Construction/Utilities,
House Committee on Transportation and Infrastructure,HSPW,https://transportation.house.gov/about/history.htm,Highways and Transit,12,Automotive/Construction,
House Committee on Transportation and Infrastructure,HSPW,https://transportation.house.gov/about/history.htm,"Railroads, Pipelines, and Hazardous Materials",14,Utilities/Energy,
House Committee on Transportation and Infrastructure,HSPW,https://transportation.house.gov/about/history.htm,Water Resources and Environment,2,Environment/Utilities,
House Committee on Rules,HSRU,https://rules.house.gov/about,Legislative and Budget Process,2,Social Issues,
House Committee on Rules,HSRU,https://rules.house.gov/about,Rules and Organization of the House,4,Social Issues,
House Committee on Small Business,HSSM,https://smallbusiness.house.gov/about/rulesandjurisdiction.htm,Contracting and Infrastructure,23,Construction,
House Committee on Small Business,HSSM,https://smallbusiness.house.gov/about/rulesandjurisdiction.htm,"Oversight, Investigations, and Regulations",24,Social Issues,
House Committee on Small Business,HSSM,https://smallbusiness.house.gov/about/rulesandjurisdiction.htm,"Economic Growth, Tax, and Capital Access",27,Finance,
House Committee on Small Business,HSSM,https://smallbusiness.house.gov/about/rulesandjurisdiction.htm,"Rural Development, Energy, and Supply Chains",21,Agri/Energy/Manufacturing,
House Committee on Small Business,HSSM,https://smallbusiness.house.gov/about/rulesandjurisdiction.htm,"Innovation, Entrepreneurship, and Workforce Development",22,ICT/Manufacturing/Higher Ed,
House Committee on Ethics,HSSO,https://ethics.house.gov/about/committee-history,,,none,
"House Committee on Science, Space, and Technology",HSSY,https://science.house.gov/about/jurisdiction,Energy,20,Energy,
"House Committee on Science, Space, and Technology",HSSY,https://science.house.gov/about/jurisdiction,Investigations and Oversight,21,Social / ICT,
"House Committee on Science, Space, and Technology",HSSY,https://science.house.gov/about/jurisdiction,Space and Aeronautics,16,ICT,
"House Committee on Science, Space, and Technology",HSSY,https://science.house.gov/about/jurisdiction,Environment,18,Environment,
"House Committee on Science, Space, and Technology",HSSY,https://science.house.gov/about/jurisdiction,Research and Technology,15,ICT,
House Committee on Veterans' Affairs,HSVR,https://veterans.house.gov/about/history.htm,Disability Assistance and Memorial Affairs,9,Social Issues/Healthcare,
House Committee on Veterans' Affairs,HSVR,https://veterans.house.gov/about/history.htm,Economic Opportunity,10,Social Issues,
House Committee on Veterans' Affairs,HSVR,https://veterans.house.gov/about/history.htm,Health,3,Healthcare,
House Committee on Veterans' Affairs,HSVR,https://veterans.house.gov/about/history.htm,Oversight and Investigations,8,Social Issues,
House Committee on Veterans' Affairs,HSVR,https://veterans.house.gov/about/history.htm,Technology Modernization,11,ICT,
